org_key,year,event_key,team_key,driveBaseType,driveBaseLength,driveBaseWidth,robotHeight,robotWeight,driveCenterOfGravity,CoralTime,pickUpSource,pickUpGround,canTheyScoreL1,L2,L3,L4,AlgaeProcessorTime,AlgaeAverageCycleTimeBarge,AlgaeReed,AlgaeFlooe,AlgaeProxesser,AlgaeBarge,scoreHang,CageClimb,autoRuns,autoSourceRun,autoMiddleRun,autopricesserRun,autoRunNotes,comment
frc8749,2025,2025txwac,frc148,"Swerve L1","28","27","41","115","Middle(More Towards Top)","12","1","0","0","0","0","0","10","10","1","1","1","1","1","Deep",,"1","0","1","Any","Professional in how they handled it"
frc8749,2025,2025txwac,frc418,"Swerve L2","35","35","41","111","Low(low)","8","1","0","0","0","0","0","0","0","0","0","0","0","1","Deep",,"1","1","1","","Very efficient cycling, 7-9 seconds "
frc8749,2025,2025txwac,frc1296,"Swerve L1","28","28","38","104","Low(low)","10","1","1","0","1","1","1","0","0","0","0","0","0","1","Deep",,"1","1","1","Any","They seem skilled and professional with how they answer my questions"
frc8749,2025,2025txwac,frc2158,"Swerve L1","27","27","28","111","Low(low)","0","1","1","0","0","0","0","0","0","1","1","0","0","0","Shallow",,"1","1","1","","Prioritize ground intake and mainly go for corals"
frc8749,2025,2025txwac,frc2468,"Swerve L1","28","28","38","102","Low(low)","0","1","0","0","0","0","0","0","0","0","1","1","0","1","Deep",,"1","1","1","Scoring the L2 on both sides","Couldn't get picture due to team members not knowing "
frc8749,2025,2025txwac,frc2582,"Swerve L1","35","35","41","113","Middle(More Towards Top)","10","1","0","0","0","0","0","8","0","0","0","0","0","1","Deep",,"1","1","1","","L4 them score 5 then go down from there, if necessary go down to L1"
frc8749,2025,2025txwac,frc2583,"Swerve L1","30","30","42","114","Low(low)","9","1","0","0","1","1","1","0","0","1","0","0","0","0","Shallow",,"1","0","1","Knock down coral",""
frc8749,2025,2025txwac,frc2687,"Swerve L1","28","28","38","106","Low(low)","0","1","0","0","0","0","0","6","0","0","0","0","0","1","Deep",,"1","0","1","","Mainly score L1 and L2 corals, will try to get 1 or 2 algae in every game"
frc8749,2025,2025txwac,frc2689,"Tank","32","36","33","79","Low(low)","0","1","0","1","0","0","0","0","0","0","1","1","0","1","Deep",,"1","1","1","?","The team member was not well imformed"
frc8749,2025,2025txwac,frc2714,"Swerve L1","29","29","41","114","Middle(More Towards Top)","5","1","0","0","0","0","0","0","0","0","0","0","0","1","Deep",,"1","1","0","","ONLY FOCUSES ON CORAL,  goes deep in the last few seconds "
frc8749,2025,2025txwac,frc2881,"Swerve L1","29","29","41","114","Low(low)","15","1","1","1","1","1","1","0","0","1","0","1","1","1","Deep",,"1","1","1","Any",""
frc8749,2025,2025txwac,frc2950,"Tank","28","28","41","88","Middle(More Towards Top)","8","1","0","0","0","0","0","13","0","0","0","0","0","0","Shallow",,"1","1","1","","Corals and algae, play offensive "
frc8749,2025,2025txwac,frc2969,"Swerve L1","28","28","10","70","Low(low)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shallow",,"1","1","1","Offensive",""
frc8749,2025,2025txwac,frc3005,"Swerve L1","29","29","42","114","Low(low)","4","1","0","0","0","0","0","6","10","1","1","1","1","1","Shallow",,"1","1","1","Scores 25 points with auto","Start at level 4, go down from there"
frc8749,2025,2025txwac,frc3310,"Swerve L1","27","27","23","115","Low(low)","7","1","1","1","1","1","1","0","0","1","1","0","1","1","Deep",,"1","0","1","Offensive ",""
frc8749,2025,2025txwac,frc4610,"Swerve L3","30","30","36","100","Middle(More Towards Top)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shallow",,"0","0","0","Move during auto",""
frc8749,2025,2025txwac,frc5212,"Swerve L1","28","28","40","95","Low(low)","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Shallow",,"1","1","1","","Cycle corals"
frc8749,2025,2025txwac,frc5503,"Swerve L1","29","29","41","94","Middle(More Towards Top)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shallow",,"0","0","0","I'm moves 1 meter",""
frc8749,2025,2025txwac,frc5613,"Swerve L1","26","26","29","83","Low(low)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shallow",,"1","1","1","","Can only move coral up to L3, probably will play defense, not good at defense though and robot doesn't have much data"
frc8749,2025,2025txwac,frc5682,"Tank","27","33","10","70","Low(low)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shallow",,"0","0","0","","Match 34 is when they will most likely be ready"
frc8749,2025,2025txwac,frc5866,"Swerve L1","30","30","41","101","Low(low)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shallow",,"1","1","0","","Mostly focus on algae"
frc8749,2025,2025txwac,frc6377,"Swerve L1","27","27","42","102","Low(low)","8","1","1","1","1","1","1","0","0","0","1","1","0","1","Deep",,"1","0","1","Scores coral ",""
frc8749,2025,2025txwac,frc6526,"Mecanum","28","32","42","92","Low(low)","0","1","0","0","0","0","0","11","0","0","1","1","0","0","Shallow",,"1","1","1","","Can only really score algae, easy to work with"
frc8749,2025,2025txwac,frc6672,"Swerve L1","27","27","10","115","Low(low)","0","1","0","1","1","1","1","0","0","1","0","1","0","1","Deep",,"0","0","1","Offensive ",""
frc8749,2025,2025txwac,frc7121,"Swerve L1","26","26","41","101","Low(low)","0","1","0","0","0","0","0","3","0","1","1","1","0","0","Shallow",,"0","1","0","","Mainly score corals and can do all L's 1,2,3,4"
frc8749,2025,2025txwac,frc7125,"Mecanum","27","27","42","99","Low(low)","0","1","0","1","1","1","1","0","0","1","0","1","0","0","Shallow",,"1","1","1","More defensive right now, until Arm is repaired ",""
frc8749,2025,2025txwac,frc8088,"Swerve L1","33","33","40","95","Low(low)","8","1","0","0","0","0","0","0","0","0","0","0","0","0","Shallow",,"1","0","1","","Strictly go for L4 corals, no algae"
frc8749,2025,2025txwac,frc8408,"Swerve L1","26","29","40","70","Low(low)","0","0","0","0","0","0","0","0","0","1","0","0","0","0","Shallow",,"0","0","0","",""
frc8749,2025,2025txwac,frc8507,"Swerve L1","30","30","41","115","Low(low)","7","1","1","1","0","0","0","0","0","0","0","0","0","1","Shallow",,"0","0","1","","Can only kick algae off can't place any, mostly plays offense with coral"
frc8749,2025,2025txwac,frc8515,"Swerve L1","29","29","42","100","Low(low)","1","1","0","1","1","1","1","0","0","1","0","0","0","1","Deep",,"1","1","1","Dives off the line for points",""
frc8749,2025,2025txwac,frc8528,"Tank","28","26","42","70","Middle(More Towards Top)","0","1","0","0","0","0","0","0","0","0","0","0","0","1","Shallow",,"0","0","0","","No real plan, can't really do much work on arm to hang and to move coral but can't at the moment"
frc8749,2025,2025txwac,frc8732,"Swerve L1","28","28","36","93","Middle(More Towards Top)","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Deep",,"0","1","0","Moves for points ",""
frc8749,2025,2025txwac,frc8769,"Swerve L1","33","33","40","80","Low(low)","9","1","0","0","0","0","0","8","0","0","0","0","0","0","Shallow",,"1","1","1","","Mainly score coral, play offense usually "
frc8749,2025,2025txwac,frc8858,"Swerve L1","33","27","42","113","Middle(More Towards Top)","0","1","0","1","1","1","1","0","0","1","0","1","0","0","Shallow",,"0","1","0","Moves for points",""
frc8749,2025,2025txwac,frc9054,"Swerve L1","30","30","41","113","Low(low)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shallow",,"1","1","1","","weak team, mostly defensive, no data on any intakes"
frc8749,2025,2025txwac,frc9444,"Swerve L1","30","30","42","74","Middle(More Towards Top)","2","1","0","1","1","1","1","1","0","1","0","1","0","0","Shallow",,"1","1","1","Move forward for point",""
frc8749,2025,2025txwac,frc9577,"Tank","40","35","42","70","Low(low)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shallow",,"1","1","0","","Playing offense, can't pick up coral at the moment, mainly will go for algae, mean head coach"
frc8749,2025,2025txwac,frc9786,"Tank","28","25","37","92","Low(low)","1","0","0","0","0","0","0","1","1","0","1","1","1","0","Deep",,"1","1","1","Move for points",""
frc8749,2025,2025txwac,frc10062,"Swerve L1","28","28","41","92","Low(low)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shallow",,"0","0","0","","Both offense and defense, can score corals but no algae, no data for both"
frc8749,2025,2025txwac,frc10312,"Swerve L1","23","23","42","98","Low(low)","0","1","0","1","1","1","0","0","0","0","0","0","0","0","Shallow",,"1","1","1","Move for points",""